"","MINUTES_REMAINING","PERIOD","Average_Shot_Quantity","Average_Made_Quantity","Average_Percentage"
"1",0,1,12.4333333333333,4.98717948717949,0.401113631676634
"2",0,2,13.0564102564103,5.32564102564103,0.407894736842105
"3",0,3,12.1589743589744,4.73333333333333,0.389287220582033
"4",0,4,12.2692307692308,4.97692307692308,0.40564263322884
"5",0,5,0.887179487179487,0.315384615384615,0.355491329479769
"6",0,6,0.184615384615385,0.0692307692307692,0.375
"7",0,7,0.0487179487179487,0.0179487179487179,0.368421052631579
"8",1,1,10.525641025641,4.91538461538462,0.466991473812424
"9",1,2,10.5487179487179,5.07435897435897,0.481040350024307
"10",1,3,9.7948717948718,4.42051282051282,0.45130890052356
"11",1,4,10.0358974358974,4.59230769230769,0.457588145120082
"12",1,5,0.633333333333333,0.241025641025641,0.380566801619433
"13",1,6,0.125641025641026,0.0641025641025641,0.510204081632653
"14",1,7,0.0230769230769231,0.00769230769230769,0.333333333333333
"15",2,1,10.3384615384615,4.70512820512821,0.455109126984127
"16",2,2,10.3564102564103,4.84102564102564,0.467442436246596
"17",2,3,9.8948717948718,4.45897435897436,0.450634879502462
"18",2,4,9.38974358974359,4.12307692307692,0.439104314582196
"19",2,5,0.6,0.264102564102564,0.44017094017094
"20",2,6,0.138461538461538,0.0512820512820513,0.37037037037037
"21",2,7,0.0384615384615385,0.0153846153846154,0.4
"22",3,1,10.6128205128205,4.95897435897436,0.467262623822179
"23",3,2,10.3230769230769,4.91025641025641,0.475658221559861
"24",3,3,9.92051282051282,4.73846153846154,0.47764280175756
"25",3,4,9.52564102564103,4.17948717948718,0.438761776581427
"26",3,5,0.597435897435897,0.225641025641026,0.377682403433476
"27",3,6,0.112820512820513,0.0384615384615385,0.340909090909091
"28",3,7,0.0256410256410256,0.00769230769230769,0.3
"29",4,1,10.8179487179487,4.98205128205128,0.46053567196018
"30",4,2,10.5974358974359,4.85641025641026,0.458262763126059
"31",4,3,10.0410256410256,4.64871794871795,0.462972420837589
"32",4,4,9.62820512820513,4.26666666666667,0.443142476697736
"33",4,5,0.497435897435897,0.182051282051282,0.365979381443299
"34",4,6,0.102564102564103,0.0461538461538462,0.45
"35",4,7,0.0333333333333333,0.0153846153846154,0.461538461538462
"36",5,1,10.9487179487179,5.13076923076923,0.468618266978923
"37",5,2,10.4717948717949,4.71794871794872,0.450538687561215
"38",5,3,10.3051282051282,4.7974358974359,0.465538691216721
"39",5,4,9.64358974358974,4.21282051282051,0.436851901090136
"40",6,1,11.2410256410256,5.46410256410256,0.486085766423358
"41",6,2,10.2538461538462,4.56410256410256,0.445111277819455
"42",6,3,10.5948717948718,4.81794871794872,0.454743465634076
"43",6,4,9.85128205128205,4.28205128205128,0.434669442998438
"44",7,1,11.2769230769231,5.42051282051282,0.480673033196908
"45",7,2,10.2,4.71794871794872,0.462543991955757
"46",7,3,10.5025641025641,4.84358974358974,0.461181640625
"47",7,4,9.58717948717949,4.27948717948718,0.446376036373362
"48",8,1,11.425641025641,5.50512820512821,0.481822262118492
"49",8,2,9.98461538461538,4.58205128205128,0.458911145351823
"50",8,3,10.6615384615385,5.06666666666667,0.475228475228475
"51",8,4,9.73333333333333,4.26923076923077,0.438619599578504
"52",9,1,11.4435897435897,5.34871794871795,0.46739861079991
"53",9,2,10.2,4.66153846153846,0.457013574660633
"54",9,3,10.7666666666667,4.94102564102564,0.45891879018814
"55",9,4,9.83589743589744,4.25128205128205,0.432221063607925
"56",10,1,11.1794871794872,5.14615384615385,0.460321100917431
"57",10,2,10.1410256410256,4.47179487179487,0.440960809102402
"58",10,3,10.4666666666667,4.8974358974359,0.467907888290054
"59",10,4,9.80512820512821,4.36666666666667,0.445345188284519
"60",11,1,8.83076923076923,3.80769230769231,0.431184668989547
"61",11,2,8.14358974358974,3.58974358974359,0.44080604534005
"62",11,3,8.42820512820513,3.70769230769231,0.439914815941588
"63",11,4,8.2051282051282,3.4974358974359,0.42625
"64",12,2,0.00512820512820513,0.00512820512820513,1
"65",12,3,0.00256410256410256,NA,NA
"66",12,4,0.00256410256410256,NA,NA
