"","PLAYER_NAME","Type","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks","Driving Floating Jump Shot",1,1,1,1
"2","Aaron Brooks","Driving Layup Shot",1,10,5,0.5
"3","Aaron Brooks","Driving Reverse Layup Shot",1,1,1,1
"4","Aaron Brooks","Fadeaway Jump Shot",1,4,3,0.75
"5","Aaron Brooks","Finger Roll Layup Shot",1,1,1,1
"6","Aaron Brooks","Floating Jump shot",1,4,1,0.25
"7","Aaron Brooks","Jump Bank Shot",1,2,0,0
"8","Aaron Brooks","Jump Shot",1,37,9,0.243243243243243
"9","Aaron Brooks","Layup Shot",1,4,1,0.25
"10","Aaron Brooks","Pullup Jump shot",1,2,0,0
"11","Aaron Brooks","Running Jump Shot",1,2,0,0
"12","Aaron Brooks","Running Layup Shot",1,1,0,0
"13","Aaron Brooks","Step Back Jump shot",1,2,1,0.5
"14","Aaron Brooks","Driving Finger Roll Layup Shot",2,2,2,1
"15","Aaron Brooks","Driving Floating Bank Jump Shot",2,2,1,0.5
"16","Aaron Brooks","Driving Floating Jump Shot",2,4,3,0.75
"17","Aaron Brooks","Driving Hook Shot",2,1,1,1
"18","Aaron Brooks","Driving Layup Shot",2,19,13,0.684210526315789
"19","Aaron Brooks","Driving Reverse Layup Shot",2,3,1,0.333333333333333
"20","Aaron Brooks","Fadeaway Jump Shot",2,5,2,0.4
"21","Aaron Brooks","Floating Jump shot",2,9,3,0.333333333333333
"22","Aaron Brooks","Hook Shot",2,1,0,0
"23","Aaron Brooks","Jump Shot",2,51,22,0.431372549019608
"24","Aaron Brooks","Layup Shot",2,10,1,0.1
"25","Aaron Brooks","Pullup Jump shot",2,12,7,0.583333333333333
"26","Aaron Brooks","Running Jump Shot",2,3,2,0.666666666666667
"27","Aaron Brooks","Step Back Jump shot",2,3,0,0
"28","Aaron Brooks","Driving Bank shot",3,1,1,1
"29","Aaron Brooks","Driving Finger Roll Layup Shot",3,2,1,0.5
"30","Aaron Brooks","Driving Floating Jump Shot",3,7,6,0.857142857142857
"31","Aaron Brooks","Driving Hook Shot",3,3,2,0.666666666666667
"32","Aaron Brooks","Driving Layup Shot",3,12,7,0.583333333333333
"33","Aaron Brooks","Driving Reverse Layup Shot",3,3,1,0.333333333333333
"34","Aaron Brooks","Fadeaway Jump Shot",3,3,2,0.666666666666667
"35","Aaron Brooks","Floating Jump shot",3,8,5,0.625
"36","Aaron Brooks","Hook Bank Shot",3,1,0,0
"37","Aaron Brooks","Jump Bank Shot",3,1,1,1
"38","Aaron Brooks","Jump Shot",3,55,12,0.218181818181818
"39","Aaron Brooks","Layup Shot",3,6,0,0
"40","Aaron Brooks","Pullup Bank shot",3,1,1,1
"41","Aaron Brooks","Pullup Jump shot",3,3,1,0.333333333333333
"42","Aaron Brooks","Running Jump Shot",3,1,1,1
"43","Aaron Brooks","Running Layup Shot",3,1,1,1
"44","Aaron Brooks","Running Pull-Up Jump Shot",3,1,0,0
"45","Aaron Brooks","Step Back Jump shot",3,1,0,0
"46","Aaron Brooks","Cutting Layup Shot",4,1,1,1
"47","Aaron Brooks","Driving Bank Hook Shot",4,1,1,1
"48","Aaron Brooks","Driving Finger Roll Layup Shot",4,4,3,0.75
"49","Aaron Brooks","Driving Floating Bank Jump Shot",4,1,1,1
"50","Aaron Brooks","Driving Floating Jump Shot",4,3,2,0.666666666666667
"51","Aaron Brooks","Driving Hook Shot",4,2,2,1
"52","Aaron Brooks","Driving Layup Shot",4,18,12,0.666666666666667
"53","Aaron Brooks","Driving Reverse Layup Shot",4,3,1,0.333333333333333
"54","Aaron Brooks","Floating Jump shot",4,11,4,0.363636363636364
"55","Aaron Brooks","Hook Shot",4,2,1,0.5
"56","Aaron Brooks","Jump Bank Shot",4,1,0,0
"57","Aaron Brooks","Jump Shot",4,89,28,0.314606741573034
"58","Aaron Brooks","Layup Shot",4,14,2,0.142857142857143
"59","Aaron Brooks","Pullup Jump shot",4,6,2,0.333333333333333
"60","Aaron Brooks","Reverse Layup Shot",4,1,1,1
"61","Aaron Brooks","Step Back Jump shot",4,2,1,0.5
"62","Aaron Brooks","Tip Layup Shot",4,1,0,0
"63","Aaron Brooks","Turnaround Jump Shot",4,1,1,1
"64","Aaron Brooks","Driving Floating Jump Shot",5,2,2,1
"65","Aaron Gordon","Alley Oop Dunk Shot",1,2,2,1
"66","Aaron Gordon","Cutting Dunk Shot",1,1,1,1
"67","Aaron Gordon","Driving Dunk Shot",1,4,3,0.75
"68","Aaron Gordon","Driving Finger Roll Layup Shot",1,1,0,0
"69","Aaron Gordon","Driving Floating Jump Shot",1,1,0,0
"70","Aaron Gordon","Driving Layup Shot",1,6,6,1
"71","Aaron Gordon","Driving Reverse Dunk Shot",1,1,1,1
"72","Aaron Gordon","Dunk Shot",1,7,7,1
"73","Aaron Gordon","Finger Roll Layup Shot",1,1,0,0
"74","Aaron Gordon","Floating Jump shot",1,1,1,1
"75","Aaron Gordon","Hook Bank Shot",1,1,1,1
"76","Aaron Gordon","Hook Shot",1,1,0,0
"77","Aaron Gordon","Jump Shot",1,56,16,0.285714285714286
"78","Aaron Gordon","Layup Shot",1,19,8,0.421052631578947
"79","Aaron Gordon","Pullup Jump shot",1,11,4,0.363636363636364
"80","Aaron Gordon","Putback Dunk Shot",1,3,3,1
"81","Aaron Gordon","Putback Layup Shot",1,4,4,1
"82","Aaron Gordon","Reverse Dunk Shot",1,2,2,1
"83","Aaron Gordon","Running Alley Oop Dunk Shot",1,2,2,1
"84","Aaron Gordon","Running Dunk Shot",1,4,4,1
"85","Aaron Gordon","Running Finger Roll Layup Shot",1,3,2,0.666666666666667
"86","Aaron Gordon","Running Jump Shot",1,1,0,0
"87","Aaron Gordon","Running Layup Shot",1,2,0,0
"88","Aaron Gordon","Step Back Jump shot",1,2,0,0
"89","Aaron Gordon","Tip Dunk Shot",1,3,3,1
"90","Aaron Gordon","Tip Layup Shot",1,16,7,0.4375
"91","Aaron Gordon","Turnaround Fadeaway shot",1,2,1,0.5
"92","Aaron Gordon","Turnaround Jump Shot",1,2,0,0
"93","Aaron Gordon","Alley Oop Dunk Shot",2,2,2,1
"94","Aaron Gordon","Cutting Dunk Shot",2,2,2,1
"95","Aaron Gordon","Cutting Layup Shot",2,4,4,1
"96","Aaron Gordon","Driving Finger Roll Layup Shot",2,1,1,1
"97","Aaron Gordon","Driving Floating Bank Jump Shot",2,2,1,0.5
"98","Aaron Gordon","Driving Layup Shot",2,3,2,0.666666666666667
"99","Aaron Gordon","Driving Reverse Layup Shot",2,1,1,1
"100","Aaron Gordon","Dunk Shot",2,5,5,1
"101","Aaron Gordon","Fadeaway Jump Shot",2,2,0,0
"102","Aaron Gordon","Finger Roll Layup Shot",2,1,1,1
"103","Aaron Gordon","Hook Shot",2,3,1,0.333333333333333
"104","Aaron Gordon","Jump Shot",2,66,15,0.227272727272727
