"","SHOT_DISTANCE","PERIOD","Average_Shot_Quantity","Average_Made_Quantity","Average_Percentage"
"1",0,1,13.4512820512821,10.3461538461538,0.769157453297751
"2",0,2,13.0923076923077,10.1179487179487,0.772816294555425
"3",0,3,12.5923076923077,9.76153846153846,0.775198533903482
"4",0,4,11.4897435897436,8.81794871794872,0.767462619950904
"5",0,5,0.28974358974359,0.225641025641026,0.778761061946903
"6",0,6,0.0487179487179487,0.0333333333333333,0.684210526315789
"7",0,7,0.00512820512820513,0.00512820512820513,1
"8",0,8,0.00256410256410256,0.00256410256410256,1
"9",1,1,13.9794871794872,8.16410256410256,0.584005869405723
"10",1,2,13.6333333333333,8.07179487179487,0.592063193530186
"11",1,3,13.0641025641026,7.53589743589744,0.576840039254171
"12",1,4,12.1641025641026,7.14615384615385,0.58747892074199
"13",1,5,0.315384615384615,0.158974358974359,0.504065040650406
"14",1,6,0.0487179487179487,0.0282051282051282,0.578947368421053
"15",1,7,0.0102564102564103,0.00256410256410256,0.25
"16",1,8,0.00769230769230769,0.00769230769230769,1
"17",2,1,9.72307692307692,4.76410256410256,0.489978902953586
"18",2,2,9.85897435897436,5.02307692307692,0.509492847854356
"19",2,3,9.5025641025641,4.67179487179487,0.491635186184566
"20",2,4,9.11794871794872,4.51538461538462,0.495219347581552
"21",2,5,0.251282051282051,0.130769230769231,0.520408163265306
"22",2,6,0.0307692307692308,0.0102564102564103,0.333333333333333
"23",2,7,0.00256410256410256,NA,NA
"24",2,8,0.00769230769230769,0.00512820512820513,0.666666666666667
"25",3,1,3.93846153846154,1.45384615384615,0.369140625
"26",3,2,4,1.52051282051282,0.380128205128205
"27",3,3,3.77435897435897,1.5,0.39741847826087
"28",3,4,3.53589743589744,1.35641025641026,0.383611312545323
"29",3,5,0.0923076923076923,0.0384615384615385,0.416666666666667
"30",3,6,0.0102564102564103,NA,NA
"31",3,7,0.00256410256410256,NA,NA
"32",3,8,0.00256410256410256,NA,NA
"33",4,1,3.35128205128205,1.28974358974359,0.384850803366488
"34",4,2,3.09487179487179,1.18461538461538,0.382767191383596
"35",4,3,3.06410256410256,1.11794871794872,0.364853556485356
"36",4,4,2.82564102564103,1.03589743589744,0.366606170598911
"37",4,5,0.0717948717948718,0.0307692307692308,0.428571428571429
"38",4,6,0.0102564102564103,0.00512820512820513,0.5
"39",5,1,3.12820512820513,1.28717948717949,0.411475409836066
"40",5,2,3.05897435897436,1.18461538461538,0.387259010896899
"41",5,3,2.72564102564103,1.10512820512821,0.405456255879586
"42",5,4,2.62307692307692,0.98974358974359,0.377321603128055
"43",5,5,0.0692307692307692,0.0230769230769231,0.333333333333333
"44",5,6,0.00769230769230769,0.00512820512820513,0.666666666666667
"45",5,8,0.00256410256410256,NA,NA
"46",6,1,3.02820512820513,1.26410256410256,0.417442845046571
"47",6,2,3.01282051282051,1.19487179487179,0.396595744680851
"48",6,3,2.67435897435897,1.04615384615385,0.39117929050815
"49",6,4,2.61538461538462,0.951282051282051,0.363725490196078
"50",6,5,0.0615384615384615,0.0205128205128205,0.333333333333333
"51",6,6,0.0102564102564103,0.00256410256410256,0.25
"52",6,7,0.00256410256410256,NA,NA
"53",6,8,0.00512820512820513,0.00256410256410256,0.5
"54",7,1,2.73076923076923,1.1,0.402816901408451
"55",7,2,2.53076923076923,1.02051282051282,0.403242147922999
"56",7,3,2.3051282051282,0.930769230769231,0.403781979977753
"57",7,4,2.15641025641026,0.871794871794872,0.404280618311534
"58",7,5,0.0641025641025641,0.0384615384615385,0.6
"59",7,6,0.0128205128205128,0.00256410256410256,0.2
"60",8,1,2.34358974358974,0.966666666666667,0.412472647702407
"61",8,2,2.27948717948718,0.935897435897436,0.410573678290214
"62",8,3,2.23589743589744,0.969230769230769,0.43348623853211
"63",8,4,1.85641025641026,0.766666666666667,0.412983425414365
"64",8,5,0.0512820512820513,0.0256410256410256,0.5
"65",9,1,2.14102564102564,0.848717948717949,0.396407185628742
"66",9,2,1.90769230769231,0.782051282051282,0.40994623655914
"67",9,3,1.82307692307692,0.743589743589744,0.407876230661041
"68",9,4,1.65641025641026,0.664102564102564,0.400928792569659
"69",9,5,0.0717948717948718,0.0282051282051282,0.392857142857143
"70",9,6,0.00769230769230769,NA,NA
"71",9,8,0.00256410256410256,0.00256410256410256,1
"72",10,1,1.88205128205128,0.78974358974359,0.419618528610354
"73",10,2,1.95384615384615,0.712820512820513,0.364829396325459
"74",10,3,1.77435897435897,0.682051282051282,0.384393063583815
"75",10,4,1.66153846153846,0.666666666666667,0.401234567901235
"76",10,5,0.0487179487179487,0.0205128205128205,0.421052631578947
"77",10,6,0.00512820512820513,NA,NA
"78",10,7,0.00256410256410256,0.00256410256410256,1
"79",10,8,0.00256410256410256,0.00256410256410256,1
"80",11,1,1.95897435897436,0.843589743589744,0.430628272251309
"81",11,2,1.86666666666667,0.774358974358974,0.414835164835165
"82",11,3,1.67435897435897,0.615384615384615,0.367534456355283
"83",11,4,1.62307692307692,0.633333333333333,0.390205371248025
"84",11,5,0.0564102564102564,0.0282051282051282,0.5
"85",11,6,0.00256410256410256,NA,NA
