"","PLAYER_NAME","Type","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"320","Al Horford","Step Back Jump shot",4,1,0,0
"321","Al Horford","Tip Shot",4,4,2,0.5
"322","Al Horford","Turnaround Bank Hook Shot",4,1,0,0
"323","Al Horford","Turnaround Fadeaway shot",4,1,0,0
"324","Al Horford","Turnaround Hook Shot",4,5,2,0.4
"325","Al Horford","Turnaround Jump Shot",4,5,3,0.6
"326","Al Horford","Jump Shot",5,1,0,0
"327","Al Horford","Jump Shot",6,2,2,1
"328","Al Jefferson","Driving Hook Shot",1,1,0,0
"329","Al Jefferson","Driving Layup Shot",1,1,1,1
"330","Al Jefferson","Dunk Shot",1,4,4,1
"331","Al Jefferson","Fadeaway Jump Shot",1,2,0,0
"332","Al Jefferson","Floating Jump shot",1,2,2,1
"333","Al Jefferson","Hook Shot",1,19,4,0.210526315789474
"334","Al Jefferson","Jump Bank Shot",1,2,2,1
"335","Al Jefferson","Jump Hook Shot",1,6,4,0.666666666666667
"336","Al Jefferson","Jump Shot",1,155,54,0.348387096774194
"337","Al Jefferson","Layup Shot",1,54,34,0.62962962962963
"338","Al Jefferson","Pullup Jump shot",1,3,2,0.666666666666667
"339","Al Jefferson","Putback Layup Shot",1,3,3,1
"340","Al Jefferson","Reverse Layup Shot",1,2,2,1
"341","Al Jefferson","Running Layup Shot",1,1,1,1
"342","Al Jefferson","Slam Dunk Shot",1,2,2,1
"343","Al Jefferson","Tip Shot",1,2,2,1
"344","Al Jefferson","Turnaround Bank shot",1,1,1,1
"345","Al Jefferson","Turnaround Fadeaway shot",1,1,1,1
"346","Al Jefferson","Turnaround Hook Shot",1,9,7,0.777777777777778
"347","Al Jefferson","Turnaround Jump Shot",1,18,10,0.555555555555556
"348","Al Jefferson","Driving Jump shot",2,1,0,0
"349","Al Jefferson","Driving Layup Shot",2,1,0,0
"350","Al Jefferson","Dunk Shot",2,1,1,1
"351","Al Jefferson","Fadeaway Jump Shot",2,1,1,1
"352","Al Jefferson","Finger Roll Layup Shot",2,1,1,1
"353","Al Jefferson","Floating Jump shot",2,1,1,1
"354","Al Jefferson","Hook Shot",2,12,7,0.583333333333333
"355","Al Jefferson","Jump Bank Shot",2,1,1,1
"356","Al Jefferson","Jump Hook Shot",2,6,4,0.666666666666667
"357","Al Jefferson","Jump Shot",2,111,50,0.45045045045045
"358","Al Jefferson","Layup Shot",2,61,36,0.590163934426229
"359","Al Jefferson","Putback Dunk Shot",2,1,1,1
"360","Al Jefferson","Putback Layup Shot",2,2,1,0.5
"361","Al Jefferson","Reverse Layup Shot",2,1,1,1
"362","Al Jefferson","Running Jump Shot",2,1,1,1
"363","Al Jefferson","Step Back Jump shot",2,1,0,0
"364","Al Jefferson","Tip Shot",2,6,3,0.5
"365","Al Jefferson","Turnaround Fadeaway shot",2,1,0,0
"366","Al Jefferson","Turnaround Hook Shot",2,12,5,0.416666666666667
"367","Al Jefferson","Turnaround Jump Shot",2,13,3,0.230769230769231
"368","Al Jefferson","Driving Jump shot",3,1,1,1
"369","Al Jefferson","Driving Layup Shot",3,1,1,1
"370","Al Jefferson","Dunk Shot",3,2,2,1
"371","Al Jefferson","Fadeaway Jump Shot",3,1,0,0
"372","Al Jefferson","Floating Jump shot",3,2,2,1
"373","Al Jefferson","Hook Shot",3,16,10,0.625
"374","Al Jefferson","Jump Hook Shot",3,6,4,0.666666666666667
"375","Al Jefferson","Jump Shot",3,135,51,0.377777777777778
"376","Al Jefferson","Layup Shot",3,69,38,0.550724637681159
"377","Al Jefferson","Putback Layup Shot",3,2,2,1
"378","Al Jefferson","Reverse Layup Shot",3,2,2,1
"379","Al Jefferson","Running Jump Shot",3,2,1,0.5
"380","Al Jefferson","Step Back Jump shot",3,2,1,0.5
"381","Al Jefferson","Tip Shot",3,3,1,0.333333333333333
"382","Al Jefferson","Turnaround Bank Hook Shot",3,1,1,1
"383","Al Jefferson","Turnaround Bank shot",3,1,1,1
"384","Al Jefferson","Turnaround Fadeaway shot",3,1,1,1
"385","Al Jefferson","Turnaround Hook Shot",3,13,7,0.538461538461538
"386","Al Jefferson","Turnaround Jump Shot",3,18,6,0.333333333333333
"387","Al Jefferson","Driving Finger Roll Layup Shot",4,1,1,1
"388","Al Jefferson","Dunk Shot",4,3,3,1
"389","Al Jefferson","Hook Shot",4,14,4,0.285714285714286
"390","Al Jefferson","Jump Hook Shot",4,2,2,1
"391","Al Jefferson","Jump Shot",4,95,36,0.378947368421053
"392","Al Jefferson","Layup Shot",4,52,33,0.634615384615385
"393","Al Jefferson","Putback Dunk Shot",4,1,1,1
"394","Al Jefferson","Putback Layup Shot",4,1,1,1
"395","Al Jefferson","Running Jump Shot",4,1,0,0
"396","Al Jefferson","Slam Dunk Shot",4,1,1,1
"397","Al Jefferson","Step Back Jump shot",4,1,1,1
"398","Al Jefferson","Tip Shot",4,3,2,0.666666666666667
"399","Al Jefferson","Turnaround Fadeaway shot",4,1,1,1
"400","Al Jefferson","Turnaround Hook Shot",4,10,3,0.3
"401","Al Jefferson","Turnaround Jump Shot",4,10,7,0.7
"402","Al Jefferson","Jump Shot",5,3,0,0
"403","Al Jefferson","Layup Shot",5,1,1,1
"404","Al Jefferson","Jump Shot",6,7,2,0.285714285714286
"405","Al Jefferson","Layup Shot",6,1,1,1
"406","Al Jefferson","Turnaround Hook Shot",6,1,1,1
"407","Al-Farouq Aminu","Alley Oop Dunk Shot",1,3,1,0.333333333333333
"408","Al-Farouq Aminu","Driving Jump shot",1,2,1,0.5
"409","Al-Farouq Aminu","Driving Layup Shot",1,1,1,1
"410","Al-Farouq Aminu","Driving Slam Dunk Shot",1,1,1,1
"411","Al-Farouq Aminu","Dunk Shot",1,1,1,1
"412","Al-Farouq Aminu","Fadeaway Jump Shot",1,1,0,0
"413","Al-Farouq Aminu","Floating Jump shot",1,1,0,0
"414","Al-Farouq Aminu","Jump Shot",1,45,12,0.266666666666667
"415","Al-Farouq Aminu","Layup Shot",1,12,5,0.416666666666667
"416","Al-Farouq Aminu","Pullup Bank shot",1,1,0,0
"417","Al-Farouq Aminu","Pullup Jump shot",1,1,1,1
"418","Al-Farouq Aminu","Putback Layup Shot",1,3,2,0.666666666666667
"419","Al-Farouq Aminu","Putback Slam Dunk Shot",1,1,1,1
"420","Al-Farouq Aminu","Reverse Layup Shot",1,1,1,1
"421","Al-Farouq Aminu","Running Finger Roll Layup Shot",1,1,0,0
"422","Al-Farouq Aminu","Running Jump Shot",1,1,1,1
"423","Al-Farouq Aminu","Running Slam Dunk Shot",1,2,2,1
"424","Al-Farouq Aminu","Slam Dunk Shot",1,4,4,1
"425","Al-Farouq Aminu","Step Back Jump shot",1,1,0,0
"426","Al-Farouq Aminu","Tip Shot",1,1,0,0
"427","Al-Farouq Aminu","Alley Oop Dunk Shot",2,2,2,1
"428","Al-Farouq Aminu","Driving Bank shot",2,1,0,0
"429","Al-Farouq Aminu","Driving Dunk Shot",2,1,1,1
"430","Al-Farouq Aminu","Driving Finger Roll Layup Shot",2,1,1,1
"431","Al-Farouq Aminu","Driving Hook Shot",2,1,0,0
"432","Al-Farouq Aminu","Driving Jump shot",2,3,1,0.333333333333333
"433","Al-Farouq Aminu","Driving Layup Shot",2,7,5,0.714285714285714
"434","Al-Farouq Aminu","Driving Slam Dunk Shot",2,1,1,1
"435","Al-Farouq Aminu","Dunk Shot",2,5,4,0.8
"436","Al-Farouq Aminu","Fadeaway Jump Shot",2,1,0,0
"437","Al-Farouq Aminu","Floating Jump shot",2,2,0,0
"438","Al-Farouq Aminu","Hook Shot",2,1,0,0
"439","Al-Farouq Aminu","Jump Shot",2,46,14,0.304347826086957
"440","Al-Farouq Aminu","Layup Shot",2,14,7,0.5
"441","Al-Farouq Aminu","Pullup Jump shot",2,1,1,1
"442","Al-Farouq Aminu","Putback Layup Shot",2,1,1,1
"443","Al-Farouq Aminu","Running Bank shot",2,1,1,1
"444","Al-Farouq Aminu","Running Jump Shot",2,1,1,1
"445","Al-Farouq Aminu","Running Layup Shot",2,1,0,0
"446","Al-Farouq Aminu","Running Slam Dunk Shot",2,3,3,1
"447","Al-Farouq Aminu","Slam Dunk Shot",2,4,4,1
"448","Al-Farouq Aminu","Tip Shot",2,4,0,0
"449","Al-Farouq Aminu","Driving Dunk Shot",3,1,0,0
"450","Al-Farouq Aminu","Driving Layup Shot",3,2,1,0.5
"451","Al-Farouq Aminu","Dunk Shot",3,2,2,1
"452","Al-Farouq Aminu","Jump Shot",3,43,12,0.27906976744186
"453","Al-Farouq Aminu","Layup Shot",3,11,7,0.636363636363636
"454","Al-Farouq Aminu","Putback Layup Shot",3,1,1,1
"455","Al-Farouq Aminu","Putback Slam Dunk Shot",3,1,1,1
"456","Al-Farouq Aminu","Running Slam Dunk Shot",3,1,1,1
"457","Al-Farouq Aminu","Slam Dunk Shot",3,1,1,1
"458","Al-Farouq Aminu","Tip Shot",3,4,0,0
"459","Al-Farouq Aminu","Turnaround Jump Shot",3,1,1,1
"460","Al-Farouq Aminu","Alley Oop Layup shot",4,1,1,1
"461","Al-Farouq Aminu","Driving Dunk Shot",4,3,3,1
"462","Al-Farouq Aminu","Driving Finger Roll Layup Shot",4,2,1,0.5
"463","Al-Farouq Aminu","Driving Hook Shot",4,1,1,1
"464","Al-Farouq Aminu","Driving Layup Shot",4,3,2,0.666666666666667
"465","Al-Farouq Aminu","Dunk Shot",4,5,4,0.8
"466","Al-Farouq Aminu","Jump Bank Shot",4,2,0,0
"467","Al-Farouq Aminu","Jump Shot",4,47,8,0.170212765957447
"468","Al-Farouq Aminu","Layup Shot",4,17,7,0.411764705882353
"469","Al-Farouq Aminu","Pullup Jump shot",4,2,1,0.5
"470","Al-Farouq Aminu","Reverse Slam Dunk Shot",4,1,1,1
"471","Al-Farouq Aminu","Running Jump Shot",4,1,0,0
"472","Al-Farouq Aminu","Running Layup Shot",4,1,1,1
"473","Al-Farouq Aminu","Running Slam Dunk Shot",4,1,1,1
"474","Al-Farouq Aminu","Running Tip Shot",4,1,1,1
"475","Al-Farouq Aminu","Slam Dunk Shot",4,3,3,1
"476","Al-Farouq Aminu","Step Back Jump shot",4,1,0,0
"477","Al-Farouq Aminu","Tip Shot",4,6,3,0.5
"478","Al-Farouq Aminu","Turnaround Fadeaway shot",4,1,1,1
"479","Al-Farouq Aminu","Turnaround Jump Shot",4,1,0,0
"480","Al-Farouq Aminu","Layup Shot",6,3,0,0
"481","Alan Anderson","Driving Layup Shot",1,9,8,0.888888888888889
"482","Alan Anderson","Driving Reverse Layup Shot",1,2,1,0.5
"483","Alan Anderson","Driving Slam Dunk Shot",1,1,1,1
"484","Alan Anderson","Finger Roll Layup Shot",1,1,1,1
"485","Alan Anderson","Jump Bank Shot",1,3,3,1
"486","Alan Anderson","Jump Shot",1,63,23,0.365079365079365
"487","Alan Anderson","Layup Shot",1,6,3,0.5
"488","Alan Anderson","Pullup Jump shot",1,2,1,0.5
"489","Alan Anderson","Reverse Layup Shot",1,2,2,1
