"","PLAYER_NAME","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"1","Aaron Brooks",0,"Driving Layup Shot",10,8
"2","Aaron Brooks",0,"Layup Shot",4,0
"3","Aaron Brooks",0,"Reverse Layup Shot",1,1
"4","Aaron Brooks",1,"Driving Finger Roll Layup Shot",4,3
"5","Aaron Brooks",1,"Driving Layup Shot",24,11
"6","Aaron Brooks",1,"Driving Reverse Layup Shot",4,1
"7","Aaron Brooks",1,"Layup Shot",20,2
"8","Aaron Brooks",2,"Driving Finger Roll Layup Shot",3,2
"9","Aaron Brooks",2,"Driving Floating Jump Shot",1,0
"10","Aaron Brooks",2,"Driving Layup Shot",20,15
"11","Aaron Brooks",2,"Driving Reverse Layup Shot",6,3
"12","Aaron Brooks",2,"Finger Roll Layup Shot",1,1
"13","Aaron Brooks",2,"Floating Jump shot",2,2
"14","Aaron Brooks",2,"Hook Shot",1,1
"15","Aaron Brooks",2,"Layup Shot",8,2
"16","Aaron Brooks",2,"Running Layup Shot",1,0
"17","Aaron Brooks",2,"Tip Layup Shot",1,0
"18","Aaron Brooks",3,"Cutting Layup Shot",1,1
"19","Aaron Brooks",3,"Driving Finger Roll Layup Shot",1,1
"20","Aaron Brooks",3,"Driving Layup Shot",4,3
"21","Aaron Brooks",3,"Floating Jump shot",2,1
"22","Aaron Brooks",3,"Jump Bank Shot",1,0
"23","Aaron Brooks",3,"Jump Shot",1,0
"24","Aaron Brooks",3,"Layup Shot",2,0
"25","Aaron Brooks",4,"Driving Floating Jump Shot",2,2
"26","Aaron Brooks",4,"Driving Hook Shot",1,1
"27","Aaron Brooks",4,"Driving Layup Shot",1,0
"28","Aaron Brooks",4,"Floating Jump shot",3,0
"29","Aaron Brooks",4,"Jump Shot",4,0
"30","Aaron Brooks",4,"Running Layup Shot",1,1
"31","Aaron Brooks",5,"Driving Bank Hook Shot",1,1
"32","Aaron Brooks",5,"Driving Floating Bank Jump Shot",1,0
"33","Aaron Brooks",5,"Driving Floating Jump Shot",1,1
"34","Aaron Brooks",5,"Floating Jump shot",4,3
"35","Aaron Brooks",5,"Hook Shot",1,0
"36","Aaron Brooks",5,"Jump Bank Shot",1,0
"37","Aaron Brooks",5,"Jump Shot",5,1
"38","Aaron Brooks",6,"Driving Floating Jump Shot",1,1
"39","Aaron Brooks",6,"Driving Hook Shot",3,3
"40","Aaron Brooks",6,"Floating Jump shot",2,1
"41","Aaron Brooks",6,"Hook Shot",1,0
"42","Aaron Brooks",6,"Jump Bank Shot",1,0
"43","Aaron Brooks",6,"Jump Shot",4,1
"44","Aaron Brooks",6,"Running Jump Shot",2,1
"45","Aaron Brooks",7,"Driving Floating Bank Jump Shot",1,1
"46","Aaron Brooks",7,"Driving Floating Jump Shot",1,1
"47","Aaron Brooks",7,"Driving Hook Shot",1,1
"48","Aaron Brooks",7,"Floating Jump shot",3,1
"49","Aaron Brooks",7,"Jump Shot",4,0
"50","Aaron Brooks",7,"Turnaround Jump Shot",1,1
"51","Aaron Brooks",8,"Driving Floating Jump Shot",4,3
"52","Aaron Brooks",8,"Fadeaway Jump Shot",1,1
"53","Aaron Brooks",8,"Floating Jump shot",3,1
"54","Aaron Brooks",8,"Jump Shot",6,2
"55","Aaron Brooks",9,"Driving Floating Bank Jump Shot",1,1
"56","Aaron Brooks",9,"Fadeaway Jump Shot",1,1
"57","Aaron Brooks",9,"Floating Jump shot",1,0
"58","Aaron Brooks",9,"Hook Bank Shot",1,0
"59","Aaron Brooks",9,"Jump Shot",4,0
"60","Aaron Brooks",9,"Pullup Jump shot",1,0
"61","Aaron Brooks",9,"Step Back Jump shot",1,0
"62","Aaron Brooks",10,"Driving Bank shot",1,1
"63","Aaron Brooks",10,"Driving Floating Jump Shot",1,1
"64","Aaron Brooks",10,"Fadeaway Jump Shot",2,1
"65","Aaron Brooks",10,"Jump Bank Shot",1,1
"66","Aaron Brooks",10,"Jump Shot",3,0
"67","Aaron Brooks",10,"Step Back Jump shot",1,1
"68","Aaron Brooks",11,"Driving Floating Jump Shot",5,4
"69","Aaron Brooks",11,"Driving Hook Shot",1,0
"70","Aaron Brooks",11,"Fadeaway Jump Shot",1,1
"71","Aaron Brooks",11,"Floating Jump shot",1,1
"72","Aaron Brooks",11,"Jump Shot",3,0
"73","Aaron Brooks",11,"Step Back Jump shot",1,0
"74","Aaron Brooks",12,"Floating Jump shot",2,0
"75","Aaron Brooks",12,"Jump Shot",1,1
"76","Aaron Brooks",12,"Pullup Jump shot",2,1
"77","Aaron Brooks",13,"Floating Jump shot",1,0
"78","Aaron Brooks",13,"Jump Shot",2,0
"79","Aaron Brooks",13,"Pullup Jump shot",1,1
"80","Aaron Brooks",14,"Fadeaway Jump Shot",1,1
"81","Aaron Brooks",14,"Floating Jump shot",1,1
"82","Aaron Brooks",14,"Jump Shot",7,1
"83","Aaron Brooks",14,"Step Back Jump shot",1,0
"84","Aaron Brooks",15,"Fadeaway Jump Shot",3,0
"85","Aaron Brooks",15,"Floating Jump shot",2,1
"86","Aaron Brooks",15,"Jump Shot",2,1
"87","Aaron Brooks",16,"Driving Floating Jump Shot",1,1
