"","PLAYER_NAME","SHOT_DISTANCE","PERIOD","Shot_Quantity","Made_Quantity","Percentage"
"1","Aaron Brooks",0,1,1,1,1
"2","Aaron Brooks",0,2,5,3,0.6
"3","Aaron Brooks",0,3,2,1,0.5
"4","Aaron Brooks",0,4,7,4,0.571428571428571
"5","Aaron Gordon",0,1,44,36,0.818181818181818
"6","Aaron Gordon",0,2,31,27,0.870967741935484
"7","Aaron Gordon",0,3,26,22,0.846153846153846
"8","Aaron Gordon",0,4,28,22,0.785714285714286
"9","Aaron Gordon",0,5,2,1,0.5
"10","Adreian Payne",0,1,4,3,0.75
"11","Adreian Payne",0,2,5,4,0.8
"12","Adreian Payne",0,3,2,1,0.5
"13","Adreian Payne",0,4,6,5,0.833333333333333
"14","Al Horford",0,1,35,29,0.828571428571429
"15","Al Horford",0,2,41,36,0.878048780487805
"16","Al Horford",0,3,40,36,0.9
"17","Al Horford",0,4,41,30,0.731707317073171
"18","Al Jefferson",0,1,11,6,0.545454545454545
"19","Al Jefferson",0,2,12,7,0.583333333333333
"20","Al Jefferson",0,3,12,9,0.75
"21","Al Jefferson",0,4,8,7,0.875
"22","Al-Farouq Aminu",0,1,18,14,0.777777777777778
"23","Al-Farouq Aminu",0,2,17,12,0.705882352941177
"24","Al-Farouq Aminu",0,3,21,17,0.80952380952381
"25","Al-Farouq Aminu",0,4,16,14,0.875
"26","Alan Anderson",0,2,1,1,1
"27","Alan Anderson",0,4,1,1,1
"28","Alec Burks",0,1,6,5,0.833333333333333
"29","Alec Burks",0,2,8,6,0.75
"30","Alec Burks",0,3,1,1,1
"31","Alec Burks",0,4,9,6,0.666666666666667
"32","Alec Burks",0,5,1,1,1
"33","Alex Len",0,1,36,29,0.805555555555556
"34","Alex Len",0,2,35,28,0.8
"35","Alex Len",0,3,41,31,0.75609756097561
"36","Alex Len",0,4,27,22,0.814814814814815
"37","Alexis Ajinca",0,1,9,7,0.777777777777778
"38","Alexis Ajinca",0,2,16,13,0.8125
"39","Alexis Ajinca",0,3,10,7,0.7
"40","Alexis Ajinca",0,4,7,6,0.857142857142857
"41","Allen Crabbe",0,1,8,6,0.75
"42","Allen Crabbe",0,2,10,8,0.8
"43","Allen Crabbe",0,3,3,2,0.666666666666667
"44","Allen Crabbe",0,4,13,12,0.923076923076923
"45","Alonzo Gee",0,1,17,15,0.882352941176471
"46","Alonzo Gee",0,2,27,21,0.777777777777778
"47","Alonzo Gee",0,3,18,14,0.777777777777778
"48","Alonzo Gee",0,4,23,21,0.91304347826087
"49","Amar'e Stoudemire",0,1,21,20,0.952380952380952
"50","Amar'e Stoudemire",0,2,8,7,0.875
"51","Amar'e Stoudemire",0,3,18,13,0.722222222222222
"52","Amar'e Stoudemire",0,4,4,3,0.75
"53","Amir Johnson",0,1,46,40,0.869565217391304
"54","Amir Johnson",0,2,21,17,0.80952380952381
"55","Amir Johnson",0,3,33,26,0.787878787878788
"56","Amir Johnson",0,4,10,8,0.8
"57","Amir Johnson",0,6,1,0,0
"58","Anderson Varejao",0,1,1,1,1
"59","Anderson Varejao",0,2,1,0,0
"60","Anderson Varejao",0,3,3,3,1
"61","Anderson Varejao",0,4,3,2,0.666666666666667
"62","Andre Drummond",0,1,131,81,0.618320610687023
"63","Andre Drummond",0,2,70,51,0.728571428571429
"64","Andre Drummond",0,3,123,90,0.731707317073171
"65","Andre Drummond",0,4,76,60,0.789473684210526
"66","Andre Drummond",0,5,4,3,0.75
"67","Andre Drummond",0,7,1,1,1
"68","Andre Drummond",0,8,1,1,1
"69","Andre Iguodala",0,1,10,8,0.8
"70","Andre Iguodala",0,2,26,24,0.923076923076923
"71","Andre Iguodala",0,3,13,13,1
"72","Andre Iguodala",0,4,15,12,0.8
"73","Andre Iguodala",0,5,1,1,1
"74","Andre Iguodala",0,6,1,1,1
"75","Andre Miller",0,1,1,0,0
"76","Andre Miller",0,2,2,1,0.5
"77","Andre Miller",0,3,1,1,1
"78","Andre Miller",0,4,2,1,0.5
"79","Andre Roberson",0,1,27,20,0.740740740740741
"80","Andre Roberson",0,2,11,9,0.818181818181818
"81","Andre Roberson",0,3,31,25,0.806451612903226
"82","Andre Roberson",0,4,4,4,1
"83","Andrea Bargnani",0,1,1,1,1
"84","Andrea Bargnani",0,2,3,2,0.666666666666667
"85","Andrea Bargnani",0,3,2,1,0.5
"86","Andrew Bogut",0,1,37,34,0.918918918918919
"87","Andrew Bogut",0,2,22,17,0.772727272727273
"88","Andrew Bogut",0,3,42,36,0.857142857142857
"89","Andrew Bogut",0,4,6,6,1
"90","Andrew Bogut",0,5,2,2,1
"91","Andrew Nicholson",0,1,7,7,1
"92","Andrew Nicholson",0,2,11,10,0.909090909090909
"93","Andrew Nicholson",0,3,2,1,0.5
"94","Andrew Nicholson",0,4,11,8,0.727272727272727
"95","Andrew Nicholson",0,5,1,0,0
"96","Andrew Wiggins",0,1,47,39,0.829787234042553
"97","Andrew Wiggins",0,2,49,37,0.755102040816326
"98","Andrew Wiggins",0,3,44,35,0.795454545454545
"99","Andrew Wiggins",0,4,29,25,0.862068965517241
"100","Andrew Wiggins",0,5,3,1,0.333333333333333
"101","Anthony Bennett",0,4,3,2,0.666666666666667
"102","Anthony Davis",0,1,57,46,0.807017543859649
"103","Anthony Davis",0,2,57,46,0.807017543859649
"104","Anthony Davis",0,3,37,30,0.810810810810811
"105","Anthony Davis",0,4,50,42,0.84
"106","Anthony Davis",0,5,2,2,1
"107","Anthony Morrow",0,3,1,0,0
"108","Anthony Morrow",0,4,3,0,0
"109","Anthony Tolliver",0,1,1,0,0
"110","Anthony Tolliver",0,2,6,4,0.666666666666667
"111","Anthony Tolliver",0,3,1,1,1
"112","Anthony Tolliver",0,4,14,11,0.785714285714286
"113","Archie Goodwin",0,1,11,8,0.727272727272727
"114","Archie Goodwin",0,2,21,15,0.714285714285714
"115","Archie Goodwin",0,3,13,8,0.615384615384615
"116","Archie Goodwin",0,4,25,18,0.72
"117","Aron Baynes",0,1,11,6,0.545454545454545
"118","Aron Baynes",0,2,51,38,0.745098039215686
"119","Aron Baynes",0,3,10,7,0.7
"120","Aron Baynes",0,4,48,35,0.729166666666667
"121","Arron Afflalo",0,1,6,5,0.833333333333333
"122","Arron Afflalo",0,2,5,2,0.4
"123","Arron Afflalo",0,3,3,3,1
"124","Arron Afflalo",0,4,5,3,0.6
"125","Austin Rivers",0,1,5,2,0.4
"126","Austin Rivers",0,2,4,3,0.75
"127","Austin Rivers",0,3,6,5,0.833333333333333
"128","Austin Rivers",0,4,9,6,0.666666666666667
"129","Avery Bradley",0,1,23,16,0.695652173913043
"130","Avery Bradley",0,2,18,16,0.888888888888889
"131","Avery Bradley",0,3,27,26,0.962962962962963
"132","Avery Bradley",0,4,22,21,0.954545454545455
"133","Ben McLemore",0,1,18,15,0.833333333333333
"134","Ben McLemore",0,2,8,6,0.75
"135","Ben McLemore",0,3,11,10,0.909090909090909
"136","Ben McLemore",0,4,5,1,0.2
"137","Beno Udrih",0,1,1,0,0
"138","Beno Udrih",0,2,4,1,0.25
"139","Beno Udrih",0,4,1,0,0
"140","Bismack Biyombo",0,1,22,17,0.772727272727273
"141","Bismack Biyombo",0,2,32,30,0.9375
"142","Bismack Biyombo",0,3,22,17,0.772727272727273
"143","Bismack Biyombo",0,4,24,20,0.833333333333333
"144","Blake Griffin",0,1,20,18,0.9
"145","Blake Griffin",0,2,13,12,0.923076923076923
"146","Blake Griffin",0,3,13,11,0.846153846153846
"147","Blake Griffin",0,4,16,14,0.875
"148","Blake Griffin",0,5,1,1,1
"149","Bojan Bogdanovic",0,1,13,10,0.769230769230769
"150","Bojan Bogdanovic",0,2,14,10,0.714285714285714
"151","Bojan Bogdanovic",0,3,14,10,0.714285714285714
"152","Bojan Bogdanovic",0,4,13,10,0.769230769230769
"153","Boris Diaw",0,1,21,15,0.714285714285714
"154","Boris Diaw",0,2,8,4,0.5
"155","Boris Diaw",0,3,7,4,0.571428571428571
"156","Boris Diaw",0,4,12,8,0.666666666666667
"157","Bradley Beal",0,1,21,13,0.619047619047619
"158","Bradley Beal",0,2,19,15,0.789473684210526
"159","Bradley Beal",0,3,18,16,0.888888888888889
"160","Bradley Beal",0,4,15,11,0.733333333333333
"161","Bradley Beal",0,5,1,1,1
"162","Brandan Wright",0,1,3,3,1
"163","Brandan Wright",0,2,9,7,0.777777777777778
"164","Brandan Wright",0,3,3,2,0.666666666666667
"165","Brandan Wright",0,4,6,6,1
"166","Brandon Bass",0,1,21,16,0.761904761904762
"167","Brandon Bass",0,2,35,29,0.828571428571429
"168","Brandon Bass",0,3,17,12,0.705882352941177
"169","Brandon Bass",0,4,45,40,0.888888888888889
"170","Brandon Jennings",0,1,1,1,1
"171","Brandon Jennings",0,2,8,7,0.875
"172","Brandon Jennings",0,3,3,3,1
"173","Brandon Jennings",0,4,6,2,0.333333333333333
"174","Brandon Knight",0,1,6,3,0.5
"175","Brandon Knight",0,2,10,9,0.9
"176","Brandon Knight",0,3,14,10,0.714285714285714
"177","Brandon Knight",0,4,12,10,0.833333333333333
"178","Brandon Rush",0,1,3,1,0.333333333333333
"179","Brandon Rush",0,2,4,4,1
"180","Brandon Rush",0,3,6,5,0.833333333333333
"181","Brandon Rush",0,4,5,2,0.4
"182","Brian Roberts",0,2,2,2,1
"183","Brian Roberts",0,4,5,5,1
"184","Brook Lopez",0,1,31,20,0.645161290322581
"185","Brook Lopez",0,2,28,22,0.785714285714286
"186","Brook Lopez",0,3,29,23,0.793103448275862
"187","Brook Lopez",0,4,26,24,0.923076923076923
"188","CJ McCollum",0,1,7,6,0.857142857142857
"189","CJ McCollum",0,2,16,9,0.5625
"190","CJ McCollum",0,3,11,5,0.454545454545455
"191","CJ McCollum",0,4,12,11,0.916666666666667
"192","CJ McCollum",0,5,1,0,0
"193","CJ Miles",0,1,9,6,0.666666666666667
"194","CJ Miles",0,2,15,9,0.6
"195","CJ Miles",0,3,7,6,0.857142857142857
"196","CJ Miles",0,4,4,1,0.25
"197","CJ Watson",0,2,3,0,0
"198","CJ Watson",0,3,1,1,1
"199","CJ Watson",0,4,2,2,1
"200","CJ Wilcox",0,2,1,1,1
"201","CJ Wilcox",0,4,2,1,0.5
"202","Cameron Bairstow",0,4,2,1,0.5
"203","Carl Landry",0,1,3,3,1
"204","Carl Landry",0,2,7,6,0.857142857142857
"205","Carl Landry",0,3,3,3,1
"206","Carl Landry",0,4,7,7,1
"207","Carmelo Anthony",0,1,22,14,0.636363636363636
"208","Carmelo Anthony",0,2,18,11,0.611111111111111
"209","Carmelo Anthony",0,3,15,8,0.533333333333333
"210","Carmelo Anthony",0,4,11,7,0.636363636363636
"211","Chandler Parsons",0,1,14,13,0.928571428571429
"212","Chandler Parsons",0,2,25,20,0.8
"213","Chandler Parsons",0,3,15,15,1
"214","Chandler Parsons",0,4,8,6,0.75
"215","Channing Frye",0,1,9,8,0.888888888888889
"216","Channing Frye",0,2,8,7,0.875
"217","Channing Frye",0,3,3,3,1
"218","Channing Frye",0,4,2,2,1
"219","Charlie Villanueva",0,2,8,6,0.75
"220","Charlie Villanueva",0,3,5,5,1
"221","Charlie Villanueva",0,4,6,4,0.666666666666667
"222","Chase Budinger",0,2,12,12,1
"223","Chase Budinger",0,3,2,2,1
"224","Chase Budinger",0,4,15,12,0.8
"225","Chris Andersen",0,1,4,4,1
"226","Chris Andersen",0,2,3,2,0.666666666666667
"227","Chris Andersen",0,3,3,3,1
"228","Chris Andersen",0,4,1,1,1
"229","Chris Bosh",0,1,10,9,0.9
"230","Chris Bosh",0,2,16,14,0.875
"231","Chris Bosh",0,3,5,4,0.8
"232","Chris Bosh",0,4,15,13,0.866666666666667
"233","Chris Copeland",0,3,1,1,1
"234","Chris Copeland",0,4,2,1,0.5
"235","Chris Johnson",0,2,5,4,0.8
"236","Chris Johnson",0,3,2,2,1
