"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"1",0,"Alley Oop Dunk Shot",1343,1211
"2",0,"Alley Oop Layup shot",188,133
"3",0,"Cutting Dunk Shot",1324,1287
"4",0,"Cutting Finger Roll Layup Shot",88,79
"5",0,"Cutting Layup Shot",654,568
"6",0,"Driving Bank Hook Shot",1,1
"7",0,"Driving Bank shot",1,0
"8",0,"Driving Dunk Shot",1247,1130
"9",0,"Driving Finger Roll Layup Shot",391,332
"10",0,"Driving Floating Jump Shot",2,2
"11",0,"Driving Hook Shot",12,10
"12",0,"Driving Layup Shot",2198,1582
"13",0,"Driving Reverse Dunk Shot",27,23
"14",0,"Driving Reverse Layup Shot",280,194
"15",0,"Dunk Shot",2894,2528
"16",0,"Finger Roll Layup Shot",124,91
"17",0,"Floating Jump shot",1,0
"18",0,"Hook Bank Shot",1,1
"19",0,"Hook Shot",50,21
"20",0,"Jump Bank Shot",1,0
"21",0,"Jump Shot",2,0
"22",0,"Layup Shot",3417,1703
"23",0,"No Shot",13,8
"24",0,"Putback Dunk Shot",544,501
"25",0,"Putback Layup Shot",582,468
"26",0,"Reverse Dunk Shot",102,97
"27",0,"Reverse Layup Shot",425,283
"28",0,"Running Alley Oop Dunk Shot",115,114
"29",0,"Running Alley Oop Layup Shot",10,10
"30",0,"Running Dunk Shot",1097,1073
"31",0,"Running Finger Roll Layup Shot",145,129
"32",0,"Running Layup Shot",867,719
"33",0,"Running Reverse Dunk Shot",15,15
"34",0,"Running Reverse Layup Shot",67,50
"35",0,"Tip Dunk Shot",233,207
"36",0,"Tip Layup Shot",1391,746
"37",0,"Turnaround Bank Hook Shot",1,0
"38",0,"Turnaround Bank shot",1,0
"39",0,"Turnaround Hook Shot",25,15
"40",1,"Alley Oop Dunk Shot",31,20
"41",1,"Alley Oop Layup shot",325,211
"42",1,"Cutting Dunk Shot",16,14
"43",1,"Cutting Finger Roll Layup Shot",150,133
"44",1,"Cutting Layup Shot",1337,1087
"45",1,"Driving Bank Hook Shot",1,0
"46",1,"Driving Bank shot",6,5
"47",1,"Driving Dunk Shot",35,30
"48",1,"Driving Finger Roll Layup Shot",868,673
"49",1,"Driving Floating Bank Jump Shot",7,5
"50",1,"Driving Floating Jump Shot",12,3
"51",1,"Driving Hook Shot",22,15
"52",1,"Driving Layup Shot",4883,3138
"53",1,"Driving Reverse Layup Shot",646,404
"54",1,"Dunk Shot",31,24
"55",1,"Fadeaway Bank shot",1,1
"56",1,"Finger Roll Layup Shot",225,156
"57",1,"Floating Jump shot",6,4
"58",1,"Hook Bank Shot",6,4
"59",1,"Hook Shot",87,48
"60",1,"Jump Bank Shot",10,6
"61",1,"Jump Shot",23,13
"62",1,"Layup Shot",6768,2813
"63",1,"No Shot",3,2
"64",1,"Pullup Bank shot",1,1
"65",1,"Pullup Jump shot",1,1
"66",1,"Putback Dunk Shot",7,2
"67",1,"Putback Layup Shot",762,563
"68",1,"Reverse Dunk Shot",8,5
"69",1,"Reverse Layup Shot",805,522
"70",1,"Running Alley Oop Dunk Shot",1,1
"71",1,"Running Alley Oop Layup Shot",12,8
"72",1,"Running Dunk Shot",53,48
"73",1,"Running Finger Roll Layup Shot",198,175
"74",1,"Running Jump Shot",11,6
"75",1,"Running Layup Shot",1455,1096
"76",1,"Running Pull-Up Jump Shot",1,1
"77",1,"Running Reverse Layup Shot",133,98
"78",1,"Step Back Jump shot",1,0
"79",1,"Tip Dunk Shot",7,4
"80",1,"Tip Layup Shot",1770,773
"81",1,"Turnaround Bank Hook Shot",1,0
"82",1,"Turnaround Bank shot",1,1
"83",1,"Turnaround Hook Shot",19,16
"84",1,"Turnaround Jump Shot",11,5
"85",2,"Alley Oop Dunk Shot",13,10
"86",2,"Alley Oop Layup shot",211,129
"87",2,"Cutting Dunk Shot",11,11
"88",2,"Cutting Finger Roll Layup Shot",87,80
"89",2,"Cutting Layup Shot",777,585
"90",2,"Driving Bank Hook Shot",7,7
"91",2,"Driving Bank shot",30,18
"92",2,"Driving Dunk Shot",15,10
"93",2,"Driving Finger Roll Layup Shot",621,413
"94",2,"Driving Floating Bank Jump Shot",12,8
"95",2,"Driving Floating Jump Shot",29,21
"96",2,"Driving Hook Shot",68,43
"97",2,"Driving Jump shot",1,0
"98",2,"Driving Layup Shot",3913,2187
"99",2,"Driving Reverse Layup Shot",370,201
"100",2,"Dunk Shot",12,6
"101",2,"Fadeaway Bank shot",2,2
"102",2,"Fadeaway Jump Shot",4,2
"103",2,"Finger Roll Layup Shot",164,89
"104",2,"Floating Jump shot",33,17
"105",2,"Hook Bank Shot",12,6
"106",2,"Hook Shot",247,134
"107",2,"Jump Bank Shot",37,26
"108",2,"Jump Shot",43,21
"109",2,"Layup Shot",5630,1873
"110",2,"No Shot",3,2
"111",2,"Pullup Bank shot",2,2
"112",2,"Pullup Jump shot",8,7
"113",2,"Putback Layup Shot",369,253
"114",2,"Reverse Dunk Shot",1,1
"115",2,"Reverse Layup Shot",480,274
"116",2,"Running Alley Oop Dunk Shot",3,3
"117",2,"Running Alley Oop Layup Shot",5,2
"118",2,"Running Dunk Shot",11,9
"119",2,"Running Finger Roll Layup Shot",87,67
"120",2,"Running Jump Shot",15,8
"121",2,"Running Layup Shot",867,570
"122",2,"Running Pull-Up Jump Shot",2,2
"123",2,"Running Reverse Layup Shot",60,41
"124",2,"Step Back Jump shot",1,1
"125",2,"Tip Dunk Shot",2,1
"126",2,"Tip Layup Shot",648,259
"127",2,"Turnaround Bank Hook Shot",6,5
"128",2,"Turnaround Bank shot",11,8
"129",2,"Turnaround Hook Shot",63,35
"130",2,"Turnaround Jump Shot",20,8
"131",3,"Alley Oop Dunk Shot",1,0
"132",3,"Alley Oop Layup shot",30,21
"133",3,"Cutting Dunk Shot",9,9
"134",3,"Cutting Finger Roll Layup Shot",26,20
"135",3,"Cutting Layup Shot",167,112
"136",3,"Driving Bank Hook Shot",4,3
"137",3,"Driving Bank shot",141,84
"138",3,"Driving Dunk Shot",3,1
"139",3,"Driving Finger Roll Layup Shot",125,84
"140",3,"Driving Floating Bank Jump Shot",44,34
"141",3,"Driving Floating Jump Shot",168,72
"142",3,"Driving Hook Shot",122,69
"143",3,"Driving Jump shot",1,1
"144",3,"Driving Layup Shot",840,360
"145",3,"Driving Reverse Layup Shot",48,25
"146",3,"Dunk Shot",6,4
"147",3,"Fadeaway Bank shot",2,1
"148",3,"Fadeaway Jump Shot",17,8
"149",3,"Finger Roll Layup Shot",62,39
"150",3,"Floating Jump shot",277,124
"151",3,"Hook Bank Shot",18,13
"152",3,"Hook Shot",568,274
"153",3,"Jump Bank Shot",146,93
"154",3,"Jump Shot",1867,248
"155",3,"Layup Shot",545,222
"156",3,"Pullup Bank shot",3,2
"157",3,"Pullup Jump shot",27,9
"158",3,"Putback Dunk Shot",2,0
"159",3,"Putback Layup Shot",49,30
"160",3,"Reverse Layup Shot",50,24
"161",3,"Running Alley Oop Dunk Shot",1,1
"162",3,"Running Alley Oop Layup Shot",1,0
"163",3,"Running Finger Roll Layup Shot",16,9
"164",3,"Running Jump Shot",144,60
