"","PLAYER_NAME","Type","Shot_Quantity","Made_Quantity","Percentage"
"795","Arron Afflalo","Fadeaway Jump Shot",36,20,0.555555555555556
"796","Arron Afflalo","Finger Roll Layup Shot",3,3,1
"797","Arron Afflalo","Floating Jump shot",6,2,0.333333333333333
"798","Arron Afflalo","Hook Shot",1,0,0
"799","Arron Afflalo","Jump Bank Shot",5,4,0.8
"800","Arron Afflalo","Jump Shot",586,218,0.372013651877133
"801","Arron Afflalo","Layup Shot",53,22,0.415094339622642
"802","Arron Afflalo","Pullup Jump shot",13,7,0.538461538461538
"803","Arron Afflalo","Putback Layup Shot",1,1,1
"804","Arron Afflalo","Reverse Layup Shot",6,4,0.666666666666667
"805","Arron Afflalo","Running Bank shot",1,1,1
"806","Arron Afflalo","Running Hook Shot",1,1,1
"807","Arron Afflalo","Running Jump Shot",15,3,0.2
"808","Arron Afflalo","Running Layup Shot",4,3,0.75
"809","Arron Afflalo","Step Back Jump shot",28,13,0.464285714285714
"810","Arron Afflalo","Tip Shot",1,0,0
"811","Arron Afflalo","Turnaround Bank shot",2,2,1
"812","Arron Afflalo","Turnaround Fadeaway shot",23,14,0.608695652173913
"813","Arron Afflalo","Turnaround Jump Shot",48,24,0.5
"814","Austin Rivers","Alley Oop Dunk Shot",1,1,1
"815","Austin Rivers","Driving Bank shot",7,5,0.714285714285714
"816","Austin Rivers","Driving Dunk Shot",3,3,1
"817","Austin Rivers","Driving Finger Roll Layup Shot",4,3,0.75
"818","Austin Rivers","Driving Hook Shot",1,0,0
"819","Austin Rivers","Driving Jump shot",6,3,0.5
"820","Austin Rivers","Driving Layup Shot",55,45,0.818181818181818
