"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"674",51,"Jump Shot",14,1
"675",51,"Pullup Jump shot",1,0
"676",51,"Running Jump Shot",4,0
"677",52,"Jump Shot",17,1
"678",52,"Running Jump Shot",2,0
"679",53,"Jump Shot",20,1
"680",53,"Pullup Jump shot",1,0
"681",53,"Running Jump Shot",4,0
"682",54,"Jump Shot",12,0
"683",54,"Running Jump Shot",2,0
"684",55,"Jump Shot",12,1
"685",55,"Pullup Jump shot",1,0
"686",55,"Running Jump Shot",2,0
"687",56,"Jump Shot",13,0
"688",56,"Running Jump Shot",1,0
"689",57,"Jump Shot",8,0
"690",57,"Running Jump Shot",2,0
"691",58,"Jump Shot",12,0
"692",59,"Jump Bank Shot",1,1
"693",59,"Jump Shot",13,0
"694",60,"Jump Shot",7,0
"695",61,"Jump Shot",8,1
"696",62,"Jump Shot",7,0
"697",63,"Jump Shot",9,0
"698",64,"Jump Shot",3,0
"699",65,"Jump Shot",7,0
"700",66,"Jump Shot",1,0
"701",66,"Running Jump Shot",1,0
"702",67,"Jump Shot",7,0
"703",68,"Jump Shot",4,0
"704",69,"Jump Shot",5,0
"705",69,"Pullup Jump shot",1,0
"706",70,"Jump Shot",7,0
"707",71,"Jump Shot",2,0
"708",72,"Jump Shot",3,0
"709",73,"Jump Shot",3,0
"710",74,"Jump Shot",4,0
"711",75,"Jump Shot",6,0
"712",76,"Jump Shot",3,0
"713",77,"Jump Shot",5,0
"714",78,"Jump Shot",4,0
"715",78,"Running Jump Shot",1,0
"716",79,"Jump Shot",3,0
"717",80,"Jump Shot",2,0
"718",81,"Jump Shot",2,0
"719",82,"Jump Shot",2,0
"720",83,"Jump Shot",3,0
"721",84,"Jump Shot",1,0
"722",85,"Jump Shot",2,0
"723",86,"Jump Shot",1,0
