"","SHOT_DISTANCE","Type","Shot_Quantity","Made_Quantity"
"151",3,"Running Hook Shot",85,47
"152",3,"Running Jump Shot",280,112
"153",3,"Running Layup Shot",107,39
"154",3,"Running Reverse Layup Shot",6,2
"155",3,"Slam Dunk Shot",1,1
"156",3,"Tip Shot",100,25
"157",3,"Turnaround Bank Hook Shot",6,5
"158",3,"Turnaround Bank shot",15,12
"159",3,"Turnaround Fadeaway shot",2,1
"160",3,"Turnaround Hook Shot",70,45
"161",3,"Turnaround Jump Shot",79,44
"162",4,"Alley Oop Layup shot",1,0
"163",4,"Driving Bank Hook Shot",8,6
"164",4,"Driving Bank shot",63,47
"165",4,"Driving Finger Roll Layup Shot",16,9
"166",4,"Driving Hook Shot",70,33
"167",4,"Driving Jump shot",252,92
"168",4,"Driving Layup Shot",164,80
"169",4,"Driving Reverse Layup Shot",3,1
"170",4,"Dunk Shot",1,1
"171",4,"Fadeaway Bank shot",6,5
"172",4,"Fadeaway Jump Shot",37,19
"173",4,"Finger Roll Layup Shot",15,7
"174",4,"Floating Jump shot",269,163
"175",4,"Hook Bank Shot",12,9
"176",4,"Hook Shot",634,290
"177",4,"Jump Bank Hook Shot",3,3
"178",4,"Jump Bank Shot",160,110
"179",4,"Jump Hook Shot",192,118
"180",4,"Jump Shot",2251,445
"181",4,"Layup Shot",73,28
"182",4,"Pullup Bank shot",4,4
"183",4,"Pullup Jump shot",20,9
"184",4,"Putback Layup Shot",4,4
"185",4,"Reverse Layup Shot",3,0
"186",4,"Running Bank Hook Shot",4,4
"187",4,"Running Bank shot",95,71
"188",4,"Running Finger Roll Layup Shot",9,3
"189",4,"Running Hook Shot",120,71
"190",4,"Running Jump Shot",409,171
"191",4,"Running Layup Shot",19,5
"192",4,"Step Back Jump shot",2,2
"193",4,"Tip Shot",3,1
"194",4,"Turnaround Bank Hook Shot",12,12
"195",4,"Turnaround Bank shot",26,19
"196",4,"Turnaround Fadeaway shot",5,4
"197",4,"Turnaround Hook Shot",113,67
"198",4,"Turnaround Jump Shot",148,66
"199",5,"Driving Bank Hook Shot",4,3
"200",5,"Driving Bank shot",70,53
"201",5,"Driving Finger Roll Layup Shot",1,0
"202",5,"Driving Hook Shot",64,36
"203",5,"Driving Jump shot",258,103
